Native Language,M:ADJ,M:ADV,M:CONJ,M:DET,M:NOUN,M:OTHER,M:PART,M:PREP,M:PRON,M:PUNCT,M:VERB,M:VERB:FORM,M:VERB:TENSE,R:ADJ,R:ADJ:FORM,R:ADV,R:DET,R:MORPH,R:NOUN,R:NOUN:INFL,R:NOUN:NUM,R:NOUN:POSS,R:ORTH,R:OTHER,R:PREP,R:PRON,R:PUNCT,R:SPELL,R:VERB,R:VERB:FORM,R:VERB:INFL,R:VERB:SVA,R:VERB:TENSE,R:WO,U:ADJ,U:ADV,U:CONJ,U:DET,U:NOUN,U:OTHER,U:PART,U:PREP,U:PRON,U:PUNCT,U:VERB,U:VERB:FORM,U:VERB:TENSE,Total Errors (Count)
Chinese (Mandarin),0.093,0.124,0.031,0.372,1.6739,1.9529,0.0,0.248,0.713,3.6888,0.248,0.403,0.031,0.279,0.0,0.062,1.5499,0.217,9.9194,0.093,0.217,0.0,51.0539,9.5784,0.248,0.496,0.589,10.2294,2.1389,1.3949,0.496,0.279,0.062,0.031,0.124,0.124,0.0,0.093,0.093,0.062,0.031,0.248,0.124,0.465,0.031,0.093,0.0,3226.0
Spanish,0.0357,0.0,0.0,0.4635,2.1747,2.246,0.0357,0.107,0.3209,4.0285,0.1426,1.9251,0.0357,0.6061,0.0713,0.1426,1.4973,0.3209,11.6578,0.0,0.2496,0.0357,40.8556,11.3725,0.4635,0.2139,0.3922,16.4349,0.7843,1.3191,0.1783,0.1783,0.2139,0.0357,0.0,0.0,0.0,0.0357,0.0713,0.1426,0.0,0.2496,0.4278,0.3565,0.0357,0.107,0.0357,2805.0
Russian,0.1562,0.0,0.0,0.5469,2.3047,1.8359,0.0391,0.1562,0.2734,4.7266,0.5859,1.6016,0.0,0.4297,0.0,0.0781,0.7422,0.5078,9.4922,0.1172,0.3906,0.0,44.6875,12.3047,0.3516,0.3906,0.4688,12.2266,2.1094,0.8984,0.5859,0.3125,0.1953,0.0,0.0,0.0,0.1172,0.1172,0.0391,0.1172,0.0,0.1953,0.3906,0.3516,0.0,0.0781,0.0781,2560.0
Hindi,0.0,0.0,0.0462,0.9234,0.7849,0.9234,0.0,0.1385,0.4155,2.2161,0.1385,0.8772,0.0,0.6925,0.0,0.0462,1.1542,0.2308,9.0489,0.0,0.4617,0.0923,54.109,10.988,0.8772,0.2308,0.6925,10.6187,0.9234,1.2004,0.2308,0.2308,0.1385,0.0,0.0462,0.0462,0.0462,0.0923,0.0,0.0462,0.0,0.277,0.1847,0.6464,0.0923,0.0923,0.0,2166.0
Turkish,0.0465,0.0,0.0,0.4651,1.3488,1.4419,0.0,0.093,0.6512,3.1628,0.0465,0.9302,0.0,0.2326,0.0,0.093,0.7442,0.093,8.8837,0.093,0.2791,0.0,47.814,10.6047,0.3721,1.5349,1.3488,13.7209,2.4186,1.1628,0.2791,0.3256,0.1395,0.0,0.0,0.0,0.0465,0.093,0.093,0.1395,0.0,0.186,0.186,0.8837,0.0,0.0,0.0465,2150.0
