Native Language,AMERICAN_ENGLISH,BRE_STYLE_OXFORD_SPELLING,CASING,COLLOCATIONS,COMPOUNDING,CONFUSED_WORDS,GRAMMAR,MISC,MULTITOKEN_SPELLING,NONSTANDARD_PHRASES,PROPER_NOUNS,PUNCTUATION,REDUNDANCY,REPETITIONS_STYLE,SEMANTICS,STYLE,TYPOGRAPHY,TYPOS,Total Errors (Count)
Chinese (Mandarin),0.3092,0.0562,6.0725,0.253,0.0281,0.2249,4.6106,2.1929,0.0,0.0281,1.2089,7.3376,0.1687,6.5505,0.0281,2.474,32.2182,36.2384,3557.0
Spanish,0.1691,0.0677,2.4019,0.4398,0.1015,0.6089,5.6834,1.4208,0.0,0.0,0.0338,12.1786,0.2706,8.2206,0.0,1.0487,9.1001,58.2544,2956.0
Russian,0.1031,0.0344,3.8488,0.3093,0.0,0.3093,6.2887,0.6186,0.0687,0.0,0.0687,17.2852,0.3093,8.2131,0.1031,2.3368,13.7113,46.3918,2910.0
Hindi,0.0423,0.0845,5.3677,0.8876,0.0,0.4227,5.4522,1.7329,0.0,0.0,0.1691,11.5385,0.1268,3.5926,0.0845,1.2257,16.3145,52.9586,2366.0
Turkish,0.0429,0.0,7.9399,0.1717,0.0858,0.1717,4.5064,0.8155,0.0429,0.0,0.0858,9.0129,0.1717,5.8369,0.2575,2.8755,14.4206,53.5622,2330.0
